行政代码,地名,东经,北纬
130426,河北省涉县,113.742914,36.598105
130930,河北省孟村回族自治县,117.159538,38.091265
140728,山西省平遥县,112.265493,37.14809
150424,内蒙古林西县,118.110216,43.771462
210202,辽宁省大连市中山区,121.677966,38.900436
211401,辽宁省葫芦岛市市辖区,120.860758,40.74303
230182,黑龙江省双城市,126.188927,45.408171
231003,黑龙江省牡丹江市阳明区,129.783915,44.587975
320501,江苏省苏州市市辖区,120.619907,31.317987
330205,浙江省宁波市江北区,121.493299,29.966392
340201,安徽省芜湖市市辖区,118.384108,31.36602
341522,安徽省霍邱县,116.173521,32.201507
350725,福建省政和县,118.971671,27.324782
360828,江西省万安县,114.825016,26.444633
370683,山东省莱州市,120.001344,37.190401
371702,山东省菏泽市牡丹区,115.470025,35.283537
410822,河南省博爱县,113.075078,35.186007
420105,湖北省武汉市汉阳区,114.217592,30.547265
421281,湖北省赤壁市,113.889168,29.742561
421300,湖北省随州市,113.379358,31.717858
421301,湖北省随州市市辖区,113.379358,31.717858
421302,湖北省随州市曾都区,113.294246,31.890024
421381,湖北省广水市,113.812619,31.682325
422800,湖北省恩施土家族苗族自治州,109.491923,30.285888
422801,湖北省恩施市,109.517433,30.308979
422802,湖北省利川市,108.8271,30.239967
422822,湖北省建始县,109.939599,30.578576
422823,湖北省巴东县,110.300617,30.827453
422825,湖北省宣恩县,109.565069,29.886112
422826,湖北省咸丰县,109.003815,29.736284
422827,湖北省来凤县,109.246714,29.425663
422828,湖北省鹤峰县,110.20022,29.918894
429000,湖北省省直辖行政单位,112.410562,31.209316
429004,湖北省仙桃市,113.387448,30.293966
429005,湖北省潜江市,112.768768,30.343116
429006,湖北省天门市,113.12623,30.649047
429021,湖北省神农架林区,110.487231,31.595768
430000,湖南省,111.720664,27.695864
430100,湖南省长沙市,112.979353,28.213478
430101,湖南省长沙市市辖区,112.979353,28.213478
430102,湖南省长沙市芙蓉区,113.020969,28.203811
430103,湖南省长沙市天心区,112.996195,28.144471
430104,湖南省长沙市岳麓区,112.908699,28.202707
430105,湖南省长沙市开福区,113.02473,28.260219
430111,湖南省长沙市雨花区,113.020201,28.146444
430121,湖南省长沙县,113.224946,28.322759
430122,湖南省望城县,112.825207,28.297078
430124,湖南省宁乡县,112.360465,28.131213
430181,湖南省浏阳市,113.721985,28.234472
430200,湖南省株洲市,113.131695,27.827433
430201,湖南省株洲市市辖区,113.131695,27.827433
430202,湖南省株洲市荷塘区,113.212526,27.907229
430203,湖南省株洲市芦淞区,113.16976,27.822073
430204,湖南省株洲市石峰区,113.163511,27.941584
